month,flair,posts,comments,total
2019-09,Diaspora Jew,1,4,5
2019-09,Falafel Sahyoun,2,6,8
2019-09,Hummus wars veteran,0,6,6
2019-09,Israeli,2,29,31
2019-09,Lebanese,11,64,75
2019-09,Unflaired/Unknown,14,35,49
2019-10,Diaspora Jew,0,17,17
2019-10,Falafel Sahyoun,6,5,11
2019-10,Hummus wars veteran,7,6,13
2019-10,"I have an Avocado, and I’m not afraid to use it",0,3,3
2019-10,Israeli,13,81,94
2019-10,Lebanese,16,136,152
2019-10,Unflaired/Unknown,13,72,85
2019-11,Diaspora Jew,0,10,10
2019-11,Hummus wars veteran,3,15,18
2019-11,Israeli,12,78,90
2019-11,Lebanese,7,140,147
2019-11,Unflaired/Unknown,12,83,95
2019-12,Diaspora Jew,0,9,9
2019-12,Hummus wars veteran,1,5,6
2019-12,Israeli,7,77,84
2019-12,Lebanese,8,130,138
2019-12,Unflaired/Unknown,9,132,141
2020-01,Diaspora Jew,1,35,36
2020-01,Hummus wars veteran,0,13,13
2020-01,Israeli,16,148,164
2020-01,Lebanese,32,347,379
2020-01,Unflaired/Unknown,21,418,439
2020-02,Diaspora Jew,1,64,65
2020-02,Hummus wars veteran,1,16,17
2020-02,Israeli,14,146,160
2020-02,Lebanese,31,304,335
2020-02,Unflaired/Unknown,13,99,112
2020-03,Diaspora Jew,1,20,21
2020-03,Falafel Sahyoun,0,1,1
2020-03,Hummus wars veteran,1,22,23
2020-03,Israeli,11,137,148
2020-03,Lebanese,6,99,105
2020-03,Unflaired/Unknown,17,104,121
2020-04,Diaspora Jew,2,16,18
2020-04,Hummus wars veteran,0,2,2
2020-04,Israeli,2,97,99
2020-04,Lebanese,7,117,124
2020-04,Unflaired/Unknown,20,109,129
2020-05,Diaspora Israeli,1,0,1
2020-05,Diaspora Jew,6,17,23
2020-05,Hummus wars veteran,0,1,1
2020-05,Israeli,9,107,116
2020-05,Lebanese,2,107,109
2020-05,Unflaired/Unknown,13,155,168
2020-06,Diaspora Israeli,3,6,9
2020-06,Diaspora Jew,5,47,52
2020-06,Falafel Sahyoun,1,2,3
2020-06,Hummus wars veteran,0,1,1
2020-06,Israeli,8,287,295
2020-06,Lebanese,10,201,211
2020-06,Unflaired/Unknown,19,332,351
2020-07,Diaspora Israeli,2,19,21
2020-07,Diaspora Jew,9,70,79
2020-07,Diaspora Lebanese,0,27,27
2020-07,Hummus wars veteran,0,1,1
2020-07,Israeli,5,206,211
2020-07,Lebanese,4,91,95
2020-07,Unflaired/Unknown,33,325,358
2020-08,Arab,0,12,12
2020-08,Diaspora Israeli,5,34,39
2020-08,Diaspora Jew,9,285,294
2020-08,Diaspora Lebanese,0,21,21
2020-08,Hummus wars veteran,0,2,2
2020-08,Israeli,33,254,287
2020-08,Lebanese,10,113,123
2020-08,Non-Canaanite,2,23,25
2020-08,Unflaired/Unknown,66,676,742
2020-09,Arab,2,5,7
2020-09,Diaspora Israeli,5,49,54
2020-09,Diaspora Jew,3,59,62
2020-09,Diaspora Lebanese,0,36,36
2020-09,Hummus wars veteran,1,3,4
2020-09,Israeli,6,91,97
2020-09,Lebanese,5,103,108
2020-09,Non-Canaanite,1,0,1
2020-09,Unflaired/Unknown,47,376,423
2020-10,Arab,1,1,2
2020-10,Diaspora Israeli,4,18,22
2020-10,Diaspora Jew,5,64,69
2020-10,Diaspora Lebanese,3,42,45
2020-10,Hummus wars veteran,1,0,1
2020-10,Israeli,15,190,205
2020-10,Lebanese,5,77,82
2020-10,Non-Canaanite,0,4,4
2020-10,Unflaired/Unknown,36,394,430
2020-11,Arab,0,2,2
2020-11,Diaspora Israeli,4,18,22
