month,posts,comments,total,hebrew_posts,hebrew_comments,post_zscore,comment_zscore
2019-09,30,144,174,0,0,-0.683,-0.811
2019-10,55,320,375,0,2,-0.149,-0.664
2019-11,34,326,360,0,3,-0.598,-0.659
2019-12,25,353,378,0,0,-0.79,-0.637
2020-01,70,961,1031,2,2,0.172,-0.129
2020-02,60,629,689,1,17,-0.042,-0.406
2020-03,36,383,419,3,7,-0.555,-0.612
2020-04,31,341,372,2,2,-0.662,-0.647
2020-05,31,387,418,1,11,-0.662,-0.608
2020-06,46,876,922,0,7,-0.341,-0.2
2020-07,53,739,792,0,4,-0.192,-0.314
2020-08,125,1420,1545,23,54,1.348,0.255
2020-09,70,722,792,1,11,0.172,-0.328
2020-10,70,790,860,0,7,0.172,-0.272
2020-11,46,413,459,2,3,-0.341,-0.587
2020-12,68,584,652,1,15,0.129,-0.444
2021-01,114,1227,1341,4,32,1.112,0.093
2021-02,84,658,742,0,9,0.471,-0.382
2021-03,86,676,762,1,9,0.514,-0.367
2021-04,65,634,699,1,13,0.065,-0.402
2021-05,133,1937,2070,1,19,1.519,0.687
2021-06,51,655,706,0,12,-0.234,-0.384
2021-07,116,1150,1266,0,14,1.155,0.029
2021-08,75,1471,1546,0,13,0.279,0.297
2021-09,66,936,1002,1,8,0.086,-0.15
2021-10,38,422,460,0,6,-0.512,-0.579
2021-11,36,492,528,1,16,-0.555,-0.521
2021-12,44,399,443,2,15,-0.384,-0.598
2022-01,62,618,680,1,10,0.001,-0.415
2022-02,35,370,405,0,2,-0.576,-0.623
2022-03,20,220,240,0,1,-0.897,-0.748
2022-04,28,411,439,0,1,-0.726,-0.588
2022-05,27,456,483,0,14,-0.747,-0.551
2022-06,24,274,298,0,0,-0.812,-0.703
2022-07,17,322,339,1,3,-0.961,-0.663
2022-08,10,114,124,0,0,-1.111,-0.836
2022-09,20,256,276,0,2,-0.897,-0.718
2022-10,32,352,384,0,9,-0.641,-0.638
2022-11,18,163,181,0,0,-0.94,-0.796
2022-12,9,124,133,0,4,-1.132,-0.828
2023-01,8,153,161,0,0,-1.154,-0.804
2023-02,6,84,90,0,0,-1.196,-0.862
2023-03,24,400,424,0,7,-0.812,-0.598
2023-04,36,1223,1259,0,22,-0.555,0.09
2023-05,17,819,836,0,23,-0.961,-0.247
2023-06,13,295,308,0,1,-1.047,-0.685
2023-07,12,189,201,0,1,-1.068,-0.774
2023-08,24,723,747,0,2,-0.812,-0.328
2023-09,12,108,120,0,0,-1.068,-0.842
2023-10,129,2361,2490,2,15,1.433,1.041
2023-11,130,2975,3105,2,38,1.454,1.554
2023-12,84,2018,2102,0,13,0.471,0.754
2024-01,151,2762,2913,1,25,1.903,1.376
2024-02,122,2197,2319,0,30,1.283,0.904
2024-03,90,1225,1315,1,21,0.599,0.092
2024-04,95,2035,2130,0,67,0.706,0.769
2024-05,75,1513,1588,1,23,0.279,0.332
2024-06,134,3893,4027,2,41,1.54,2.321
2024-07,79,2080,2159,0,35,0.364,0.806
2024-08,125,2910,3035,3,41,1.348,1.5
2024-09,293,6634,6927,0,54,4.939,4.611
2024-10,197,6509,6706,0,90,2.887,4.507
2024-11,99,3032,3131,1,33,0.792,1.602
2024-12,103,2621,2724,3,45,0.877,1.258
2025-01,51,1494,1545,2,25,-0.234,0.317
2025-02,49,995,1044,0,6,-0.277,-0.1
2025-03,77,2172,2249,3,29,0.321,0.883
2025-04,58,978,1036,0,16,-0.085,-0.115
2025-05,61,1107,1168,0,18,-0.021,-0.007
2025-06,53,1169,1222,1,8,-0.192,0.045
2025-07,51,1178,1229,1,12,-0.234,0.053
2025-08,71,1283,1354,1,9,0.193,0.14
2025-09,53,749,802,1,1,-0.192,-0.306
2025-10,47,850,897,1,5,-0.32,-0.222
2025-11,45,736,781,0,57,-0.363,-0.317
2025-12,61,941,1002,0,17,-0.021,-0.145
2026-01,35,445,480,1,0,-0.576,-0.56
2026-02,29,470,499,1,1,-0.705,-0.539
2026-03,36,1043,1079,0,4,-0.555,-0.06
