author,top_flair,total_items,spike_items,spike_share,hebrew_items
victoryismind,Lebanese,3137,906,0.289,3
LevantinePlantCult,Unflaired/Unknown,940,621,0.661,20
levnon14,Diaspora Lebanese,982,557,0.567,0
cha3bghachim,Lebanese,1124,524,0.466,0
[deleted],Unflaired/Unknown,4789,413,0.086,16
OptimismNeeded,Israeli,456,370,0.811,7
Current-Meal9360,Lebanese,413,370,0.896,0
MuskyScent972,Unflaired/Unknown,358,313,0.874,8
MajorTechnology8827,Israeli,551,311,0.564,11
Glad-Difference-3238,Lebanese,474,291,0.614,0
price_of_sleep,Unflaired/Unknown,239,239,1.0,0
Reasonable_Wolf1883,Israeli,289,232,0.803,2
Sr4f,Diaspora Lebanese,393,223,0.567,0
Shachar2like,Unflaired/Unknown,799,221,0.277,0
EmperorChaos,Diaspora Lebanese,962,215,0.223,0
simpleman9006,Unflaired/Unknown,307,202,0.658,3
Flashy_Produce_3733,Unflaired/Unknown,197,187,0.949,0
ForbiddenBromance-ModTeam,Unflaired/Unknown,448,186,0.415,0
extrastone,Israeli,318,185,0.582,1
sumostuff,Unflaired/Unknown,345,179,0.519,1
porn0f1sh,Unflaired/Unknown,270,179,0.663,5
Basic_Suggestion3476,Israeli,363,172,0.474,6
62TiredOfLiving,Unflaired/Unknown,293,166,0.567,0
EquivalentBarracuda4,Unflaired/Unknown,281,163,0.58,1
OliveWhisperer,Diaspora Lebanese,211,163,0.773,0
freedomlegion,Unflaired/Unknown,179,153,0.855,3
Antique-Ad-2618,Unflaired/Unknown,186,147,0.79,0
CruntyMcNugget,Israeli,275,146,0.531,7
IbnEzra613,Diaspora Jew,903,145,0.161,48
Synth_Sapiens,Israeli,219,142,0.648,3
Agreeable-Message-16,Lebanese,329,140,0.426,1
Curious_Diver1005,Israeli,139,139,1.0,0
the3dverse,Israeli,281,138,0.491,1
Zealousideal_Hurry97,Unflaired/Unknown,164,138,0.841,1
InitialLiving6956,Unflaired/Unknown,366,137,0.374,0
gilad_ironi,Unflaired/Unknown,202,126,0.624,2
Israelidru,Israeli,127,126,0.992,2
Anonymous-Balls,Palestinian,123,123,1.0,0
Scienceisfun321,Israeli,145,120,0.828,10
captain-shawarma,Diaspora Lebanese,144,117,0.812,1
Haunting_Birthday135,Israeli,195,116,0.595,7
tFighterPilot,Israeli,219,115,0.525,2
sad-frogpepe,Israeli,255,112,0.439,1
Both-Entertainment-3,Israeli,170,112,0.659,1
