flair,posts,comments,total,distinct_authors
Unflaired/Unknown,3122,51841,54963,6621
Israeli,729,16847,17576,624
Lebanese,517,8675,9192,171
Diaspora Lebanese,155,3965,4120,93
Diaspora Jew,167,3465,3632,126
Diaspora Israeli,88,1512,1600,79
Non-Canaanite,38,385,423,56
Palestinian,7,296,303,8
Iranian/Persian,4,217,221,5
Iraqi,5,164,169,7
Israeli Arab,10,139,149,12
"I have an Avocado, and I’m not afraid to use it",1,138,139,2
Hummus wars veteran,15,122,137,2
Syrian,10,124,134,6
Arab,9,79,88,32
Jordanian,8,79,87,9
Falafel Sahyoun,9,14,23,1
Maghrebi,0,17,17,2
Diaspora Jew/Lebanese,1,10,11,3
Egyptian,0,5,5,1
